price,type,size,bathroom_count,room_count,location,category,log_price
1600.0,À Louer,180.0,1.0,3.0,ariana,Maisons et Villas,3.2041199826559246
2200.0,À Louer,200.0,1.0,4.0,tunis,Maisons et Villas,3.342422680822206
240000.0,À Vendre,116.0,1.0,2.0,sousse,Appartements,5.380211241711606
1800.0,À Louer,100.0,1.0,3.0,ariana,Bureaux et Plateaux,3.255272505103306
1100.0,À Louer,100.0,1.0,3.0,tunis,Bureaux et Plateaux,3.041392685158225
680.0,À Louer,80.0,1.0,2.0,nabeul,Appartements,2.832508912706236
1750.0,À Louer,170.0,1.0,3.0,ariana,Maisons et Villas,3.2430380486862944
730.0,À Louer,75.0,1.0,1.0,ariana,Maisons et Villas,2.863322860120456
850.0,À Louer,105.0,1.0,3.0,ariana,Maisons et Villas,2.929418925714293
1500.0,À Louer,142.0,1.0,3.0,ariana,Appartements,3.1760912590556813
1100.0,À Louer,90.0,1.0,2.0,tunis,Maisons et Villas,3.041392685158225
700.0,À Louer,120.0,1.0,3.0,ariana,Appartements,2.845098040014257
1200.0,À Louer,100.0,1.0,2.0,tunis,Maisons et Villas,3.0791812460476247
1000.0,À Louer,100.0,2.0,2.0,nabeul,Locations de vacances,3.0
600.0,À Louer,100.0,1.0,2.0,sousse,Appartements,2.7781512503836434
798.0,À Louer,88.0,1.0,3.0,ariana,Appartements,2.9020028913507296
